event_id,trip_id,label,event_start,event_peak,event_end,confidence,annotator,notes,created_at,pipeline_version
0,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972208.5150003,1775972208.63,1775972208.745,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
1,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972226.66,1775972226.76,1775972226.86,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
2,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972229.565,1775972229.65,1775972229.7350001,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
3,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972235.6350002,1775972235.71,1775972235.7849998,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
4,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972268.28,1775972268.36,1775972268.4399998,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
5,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972297.46,1775972297.53,1775972297.6,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
6,178e7720-4939-4df4-b9af-2a0a7e15ece3,Speed Bump,1775972311.8000002,1775972311.94,1775972312.08,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
7,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972335.04,1775972335.11,1775972335.1799998,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
8,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972343.5450003,1775972343.66,1775972343.7749999,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
9,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972363.34,1775972363.36,1775972363.3799999,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
10,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775972418.3700001,1775972418.45,1775972418.53,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
11,178e7720-4939-4df4-b9af-2a0a7e15ece3,Pothole,1775972424.45,1775972424.51,1775972424.57,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
12,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972435.05,1775972435.1,1775972435.1499999,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
13,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972522.8600001,1775972522.88,1775972522.9,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
14,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972708.91,1775972708.97,1775972709.03,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
15,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972790.5500002,1775972790.65,1775972790.75,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
16,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972809.3950002,1775972809.42,1775972809.445,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
17,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972858.1850002,1775972858.2,1775972858.215,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
18,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972888.4150002,1775972888.46,1775972888.5049999,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
19,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972910.67,1775972910.7,1775972910.73,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
20,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972915.8450003,1775972915.88,1775972915.915,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
21,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972924.565,1775972924.62,1775972924.6749997,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
22,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972927.46,1775972927.52,1775972927.58,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
23,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972933.93,1775972933.97,1775972934.01,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
24,178e7720-4939-4df4-b9af-2a0a7e15ece3,Non-Event,1775972953.9850001,1775972954.04,1775972954.0949998,1.0,manual,,2026-05-09 21:34:21,05_pipeline_experiment
